No,Headline
1,Attention Media ≠ Social Networks (susam.net)
2,Fix Your Tools (ochagavia.nl)
3,What Is a Database Transaction? (planetscale.com)
4,Xweather Live – Interactive global vector weather map (xweather.com)
5,"Show HN: 3D Mahjong, Built in CSS (voxjong.com)"
6,Iran students stage first large anti-government protests since deadly crackdown (bbc.com)
7,Back to FreeBSD: Part 1 (hypha.pub)
8,Volatility: The volatile memory forensic extraction framework (github.com/volatilityfoundation)
9,The Four-Color Theorem 1852–1976 (ams.org)
10,How Taalas “prints” LLM onto a chip? (anuragk.com)
11,We hid backdoors in ~40MB binaries and asked AI + Ghidra to find them (quesma.com)
12,Man accidentally gains control of 7k robot vacuums (popsci.com)
13,"Minions: Stripe's one-shot, end-to-end coding agents – Stripe Dot Dev Blog (stripe.dev)"
14,How far back in time can you understand English? (deadlanguagesociety.com)
15,How I use Claude Code: Separation of planning and execution (boristane.com)
16,Gamedate – A site to revive dead multiplayer games (gamedate.org)
17,Japanese Woodblock Print Search (ukiyo-e.org)
18,Show HN: Llama 3.1 70B on a single RTX 3090 via NVMe-to-GPU bypassing the CPU (github.com/xaskasdf)
19,ReferenceFinder: Find coordinates on a piece of paper with only folds (mutsuntsai.github.io)
20,Two Bits Are Better Than One: making bloom filters 2x more accurate (floedb.ai)
21,Evidence of the bouba-kiki effect in naïve baby chicks (science.org)
22,Claws are now a new layer on top of LLM agents (twitter.com/karpathy)
23,"Parse, Don't Validate and Type-Driven Design in Rust (harudagondi.space)"
24,Fungicide vinclozin causes disease via germline for 20 generations in rats (pnas.org)
25,Introduction to Out of Time Order Correlators (OTOCs)(2025) (quantumcomputer.blog)
26,Unreal Numbers (lcamtuf.substack.com)
27,How I launched 3 consoles and found true love at Babbage's store no. 9 (2013) (arstechnica.com)
28,"zclaw: personal AI assistant in under 888 KB, running on an ESP32 (github.com/tnm)"
29,CXMT has been offering DDR4 chips at about half the prevailing market rate (koreaherald.com)
30,Carelessness versus craftsmanship in cryptography (trailofbits.com)
